model,backtest_mape,test_mape,backtest_mae,test_mae,backtest_rmse,test_rmse
AutoARIMA(season_length=24),116.97248251969222,64.01659220968794,0.5863653317867852,0.7014420119540823,0.5909617337151445,0.9182808864686501
"AutoARIMA(season_length=24,fcov=month,Tmax,Tmin,Snow)",149.16533496188066,89.27440076656453,0.6175564460723555,0.7020584311549218,0.8582798568866038,1.0508651645812033
AutoETS(season_length=24),142.81779953650033,72.71645955585166,0.6155162772533687,0.537031729444345,0.757914869519884,0.9068085259949676
"AutoETS(season_length=24,fcov=month,Tmax,Tmin,Snow)",118.64408903195721,75.15466770995761,0.4979648991277238,0.566548776859565,0.6633276656214783,0.8899792436317226
"BlockLSTM(icl=12,tl=12,hd=16)",108.50996024656791,85.58866525394158,0.5485495147139533,0.953218560376701,0.5563179728452646,1.0990259821421746
"BlockLSTM(icl=12,tl=12,hd=16,pcov=month,Snow,Evap,Tmax,Tmin)",121.37762393558747,86.1905281331042,0.6110806255154235,0.9430932580696877,0.6177142753958065,1.0823672370176023
"BlockLSTM(icl=12,tl=12,hd=256)",79.8619223986598,102.48735434356928,0.383975616917849,1.06436335804521,0.38570340191936026,1.1747400209817702
"BlockLSTM(icl=12,tl=12,hd=64)",100.59098021184595,98.25118135249468,0.4980263412969924,1.0469992624057896,0.49894696369575425,1.169737329477224
"BlockLSTM(icl=6,tl=6,hd=16)",113.46987754430285,84.44037318205642,0.5717343282511573,0.944907627912921,0.5782962487176422,1.0954148629523732
"XGB(lags=12,lags_past_covariates=12,lags_future_covariates=(0, 1, 2, 3, 4),output_chunk_length=6,fcov=month,Tmax,Tmin,Snow,pcov=month,Snow,Evap,Tmax,Tmin)",172.06353945395045,121.253631604022,0.8512487807989815,1.140252715608846,0.8526258113417757,1.2898113059756189
"XGB(lags=12,lags_past_covariates=12,output_chunk_length=6,pcov=month,Snow,Evap,Tmax,Tmin)",82.67320105831197,103.00484214893002,0.3756110058844783,1.138307155195178,0.4058407416067353,1.3893222761443014
"XGB(lags=3,lags_past_covariates=3,output_chunk_length=3,pcov=month,Snow,Evap,Tmax,Tmin)",244.50943977325744,137.34434403697986,1.1789384582758644,1.3612830989762268,1.1826766243476785,1.5860557074652453
